127.0.0.1 - - [02/Jan/2024:18:20:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:20:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:21:18 +0530] "POST /My_App/check.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:21:18 +0530] "GET /My_App/display.html HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:22:43 +0530] "GET /My_App/display.html HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:22:43 +0530] "GET /My_App/file.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:22:45 +0530] "GET /My_App/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:22:45 +0530] "GET /My_App/file.css HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:24:19 +0530] "GET /My_App/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:24:19 +0530] "GET /My_App/file.css HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:24:19 +0530] "GET /My_App/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:24:19 +0530] "GET /My_App/file.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:24:19 +0530] "GET /My_App/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:24:19 +0530] "GET /My_App/file.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:24:28 +0530] "POST /My_App/check.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:24:28 +0530] "GET /My_App/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:24:28 +0530] "GET /My_App/file.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:24:44 +0530] "GET /My_App/display.html HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:24:44 +0530] "GET /My_App/file.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:24:44 +0530] "GET /My_App/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:25:06 +0530] "GET /My_App/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:25:06 +0530] "GET /My_App/file.css HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:25:06 +0530] "GET /My_App/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:25:06 +0530] "GET /My_App/file.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:25:36 +0530] "GET /My_App/display.html HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:25:36 +0530] "GET /My_App/file.css HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:26:10 +0530] "GET /My_App/display.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2024:18:26:10 +0530] "GET /My_App/file.css HTTP/1.1" 200 23
